Station Name: PHOENIX PARK
Station Height: 48 M 
Latitude:53.364  ,Longitude: -6.350


date:  -  00 to 00 utc
rain:  -  Precipitation Amount (mm)
maxtp: -  Maximum Air Temperature (C)	  
mintp: -  Minimum  Air Temperature (C)
gmin:  -  09utc Grass Minimum Temperature (C)
soil:  -  Mean 10cm soil temperature (C)
cbl:   -  Mean CBL Pressure (hpa)
ind:   -  Indicator (i)

date,ind,maxtp,ind,mintp,igmin,gmin,ind,rain,cbl,soil
01-jan-2017,0,5.9,0,2.0,0,-1.1,0,1.1,1019.4,4.446
02-jan-2017,0,5.7,0,-1.6,0,-6.7,0,0.0,1026.9,2.555
03-jan-2017,0,5.3,0,-0.3,0,-6.2,0,0.0,1025.0,2.034
04-jan-2017,0,6.6,0,0.1,0,1.1,0,0.1,1024.1,3.876
05-jan-2017,0,7.9,0,-1.6,0,-5.7,0,0.2,1025.0,3.246
06-jan-2017,0,12.2,0,7.4,0,-2.3,0,3.9,1023.7,6.418
07-jan-2017,0,11.2,0,7.3,0,7.6,0,0.1,1026.1,7.783
08-jan-2017,0,11.4,0,7.6,0,2.9,0,0.1,1021.6,7.947
09-jan-2017,0,9.9,0,4.7,0,2.6,0,2.1,1010.3,6.892
10-jan-2017,0,11.0,0,5.0,0,1.5,0,0.0,1004.4,5.646
11-jan-2017,0,11.4,0,4.2,0,3.2,0,0.0,1005.7,6.023
12-jan-2017,0,5.0,0,0.6,0,1.0,0,1.5,1001.2,3.997
13-jan-2017,0,3.5,0,0.1,0,-3.7,0,0.0,1009.5,2.141
14-jan-2017,0,7.3,0,1.0,0,-3.4,0,0.0,1018.2,2.142
15-jan-2017,0,10.4,0,5.1,0,-0.1,0,0.1,1020.8,5.129
16-jan-2017,0,10.3,0,8.1,0,7.4,0,0.3,1024.2,7.271
17-jan-2017,0,10.5,0,8.2,0,6.3,0,0.2,1027.5,7.854
18-jan-2017,0,10.0,0,6.9,0,4.4,0,0.0,1030.5,7.460
19-jan-2017,0,8.4,0,7.1,0,6.2,0,0.0,1030.8,7.214
20-jan-2017,0,9.7,0,1.4,0,6.1,0,0.0,1026.5,6.550
21-jan-2017,0,4.8,0,-3.2,0,-8.2,0,0.0,1020.5,3.095
22-jan-2017,0,5.8,0,-0.7,0,-6.9,0,0.0,1018.3,2.993
23-jan-2017,0,11.0,0,1.2,0,-6.0,0,0.0,1018.2,3.282
24-jan-2017,0,12.4,0,7.6,0,-1.6,0,0.0,1014.9,5.797
25-jan-2017,0,11.8,0,7.2,0,4.4,0,0.0,1011.5,6.136
26-jan-2017,0,7.3,0,4.6,0,2.5,0,0.0,1004.1,4.677
27-jan-2017,0,9.7,0,4.8,0,2.0,0,0.0,997.1,4.884
28-jan-2017,0,7.3,0,1.9,0,0.7,0,1.7,1000.8,4.997
29-jan-2017,0,7.9,0,-1.1,0,-6.8,0,2.0,1001.1,3.359
30-jan-2017,0,12.0,0,5.5,0,-2.5,0,0.0,998.7,5.942
31-jan-2017,0,11.7,0,3.1,0,7.1,0,10.6,998.3,7.979
01-feb-2017,0,11.0,0,1.8,0,-3.1,0,0.0,991.8,5.698
02-feb-2017,0,12.5,0,9.1,0,4.2,0,3.3,975.3,8.242
03-feb-2017,0,9.2,0,2.5,0,-0.6,0,6.6,978.8,6.159
04-feb-2017,0,7.6,0,-0.6,0,-5.2,0,0.0,986.0,3.738
05-feb-2017,0,7.2,0,-2.9,0,-8.4,0,0.0,998.8,2.764
06-feb-2017,0,9.1,0,-1.0,0,-6.8,0,2.7,1002.5,3.281
07-feb-2017,0,8.1,0,1.6,0,-1.2,0,1.0,1009.1,4.693
08-feb-2017,0,9.5,0,-1.2,0,-6.9,0,0.0,1020.4,3.109
09-feb-2017,0,6.0,0,3.2,0,-3.8,0,0.0,1019.7,3.430
10-feb-2017,0,4.3,0,2.8,0,1.7,0,0.0,1022.0,2.999
11-feb-2017,0,5.5,0,-0.5,0,-4.7,0,9.2,1024.4,2.886
12-feb-2017,0,5.6,0,3.0,0,-0.6,0,6.8,1019.7,3.553
13-feb-2017,0,9.1,0,4.9,0,2.3,0,0.6,1013.5,4.982
14-feb-2017,0,8.9,0,3.2,0,1.6,0,0.0,1013.4,5.017
15-feb-2017,0,13.5,0,6.7,0,-2.5,0,0.1,1016.7,6.671
16-feb-2017,0,9.9,0,5.6,0,0.5,0,0.3,1019.6,6.106
17-feb-2017,0,13.8,0,7.2,0,4.1,0,0.0,1016.9,7.418
18-feb-2017,0,12.7,0,8.9,0,5.3,0,0.1,1013.9,8.555
19-feb-2017,0,12.4,0,8.2,0,5.1,0,0.0,1014.5,8.714
20-feb-2017,0,13.6,0,9.8,0,9.6,0,0.0,1013.2,9.913
21-feb-2017,0,13.1,0,7.2,0,1.0,0,2.3,1006.3,9.605
22-feb-2017,0,11.3,0,7.5,0,7.6,0,7.7,994.9,9.885
23-feb-2017,0,10.9,0,2.2,0,4.9,0,9.1,991.2,8.182
24-feb-2017,0,8.7,0,1.5,0,-3.4,0,1.2,1007.0,5.441
25-feb-2017,0,14.1,0,7.2,0,3.5,0,1.8,998.5,8.573
26-feb-2017,0,12.9,0,3.9,0,1.7,0,3.3,990.0,7.816
27-feb-2017,0,8.1,0,0.6,0,-2.3,0,0.1,980.4,6.000
28-feb-2017,0,8.7,0,0.1,0,-3.5,0,5.8,984.5,5.174
01-mar-2017,0,9.7,0,1.9,0,-3.0,0,2.7,989.7,5.886
02-mar-2017,0,7.8,0,3.1,0,1.7,0,4.2,995.8,6.132
03-mar-2017,0,8.7,0,4.8,0,2.5,0,7.9,986.1,6.704
04-mar-2017,0,8.6,0,4.3,0,4.1,0,3.6,977.9,7.130
05-mar-2017,0,7.2,0,2.9,0,1.3,0,5.7,984.9,6.270
06-mar-2017,0,7.2,0,0.1,0,-4.4,0,2.6,1001.5,4.755
07-mar-2017,0,12.1,0,0.4,0,-4.1,0,1.8,1004.2,5.001
08-mar-2017,0,14.0,0,7.5,0,5.4,0,0.1,1002.6,8.825
09-mar-2017,0,12.8,0,6.4,0,2.5,0,0.0,1011.7,8.764
10-mar-2017,0,13.9,0,8.0,0,6.2,0,0.0,1012.5,9.340
11-mar-2017,0,12.6,0,5.4,0,6.6,0,1.7,1007.6,9.745
12-mar-2017,0,13.1,0,4.8,0,0.0,0,2.4,1011.6,9.210
13-mar-2017,0,15.6,0,4.6,0,-1.4,0,0.0,1021.5,9.759
14-mar-2017,0,15.1,0,8.0,0,9.5,0,0.2,1024.7,11.217
15-mar-2017,0,17.1,0,3.9,0,-1.1,0,0.0,1023.6,10.889
16-mar-2017,0,12.6,0,3.8,0,6.0,0,0.2,1015.8,10.672
17-mar-2017,0,11.7,0,3.7,0,-2.0,0,1.9,1007.3,8.155
18-mar-2017,0,12.9,0,10.6,0,8.0,0,1.5,1002.1,10.762
19-mar-2017,0,15.3,0,9.3,0,8.8,0,2.1,997.7,11.720
20-mar-2017,0,11.6,0,1.8,0,5.2,0,1.0,994.7,10.427
21-mar-2017,0,8.9,0,1.0,0,-1.8,0,2.7,996.9,7.526
22-mar-2017,0,5.2,0,2.3,0,1.5,0,27.5,1000.2,6.627
23-mar-2017,0,9.6,0,4.6,0,3.7,0,2.9,1015.1,7.391
24-mar-2017,0,10.5,0,2.6,0,-1.4,0,0.0,1025.9,7.504
25-mar-2017,0,13.0,0,-0.2,0,-4.8,0,0.0,1025.6,7.580
26-mar-2017,0,12.6,0,2.0,0,-2.8,0,0.0,1019.5,7.988
27-mar-2017,0,13.8,0,5.1,0,1.0,0,0.0,1014.3,9.408
28-mar-2017,0,14.4,0,4.6,0,0.5,0,0.7,1009.2,9.323
29-mar-2017,0,16.9,0,8.7,0,6.5,0,0.3,1006.3,11.312
30-mar-2017,0,14.8,0,11.4,0,9.7,0,0.0,1001.4,11.827
31-mar-2017,0,15.5,0,6.9,0,8.9,0,1.6,995.1,12.240
01-apr-2017,0,13.6,0,4.0,0,-1.1,0,3.6,1005.3,10.835
02-apr-2017,0,15.1,0,2.0,0,-3.1,0,0.0,1015.6,10.123
03-apr-2017,0,13.4,0,5.0,0,0.9,0,0.2,1012.2,9.725
04-apr-2017,0,12.2,0,6.6,0,4.1,0,0.0,1021.6,10.898
05-apr-2017,0,11.9,0,7.8,0,6.1,0,0.0,1028.6,10.837
06-apr-2017,0,10.5,0,7.8,0,7.0,0,0.0,1026.5,10.915
07-apr-2017,0,13.1,0,4.0,0,5.5,0,0.0,1021.3,12.115
08-apr-2017,0,18.7,0,1.1,0,-3.3,0,0.0,1014.9,12.159
09-apr-2017,0,14.5,0,3.9,0,-1.0,0,1.0,1015.3,11.823
10-apr-2017,0,13.4,0,3.1,0,-1.3,0,0.0,1022.7,10.868
11-apr-2017,0,13.0,0,4.0,0,-1.4,0,0.0,1020.8,11.048
12-apr-2017,0,15.0,0,5.2,0,5.3,0,0.5,1014.8,11.935
13-apr-2017,0,11.4,0,4.9,0,-1.3,0,0.0,1012.9,11.347
14-apr-2017,0,13.8,0,6.8,0,7.5,0,0.8,1010.0,12.312
