Station Name: DUBLIN (Glasnevin),,,,,,,,
Station Height: 18 M ,,,,,,,,
Latitude:53.370  ,Longitude: -6.270,,,,,,,
,,,,,,,,
,,,,,,,,
date: -   09 to 09 utc,,,,,,,,
rain: -   Precipitation Amount (mm),,,,,,,,
maxt: -   Maximum Temperature (C),,,,,,,,
mint: -   Minimum Temperature (C),,,,,,,,
gmin: -   09utc Grass Minimum Temperature (C),,,,,,,,
soil: -   10cm Soil Temperature (C),,,,,,,,
"ind:  -	  Indicator",,,,,,,,
,,,,,,,,
date,ind,rain,ind,maxt,ind,mint,gmin,soil
1-Jan-23,0,0.4,0,7.2,0,2.5,1.4, 
2-Jan-23,0,0.8,0,10.9,0,1.9,-1.7, 
3-Jan-23,0,0.6,0,14.4,1,-0.5,-4.4, 
4-Jan-23,0,0.2,0,12.9,0,9.4,8.2, 
5-Jan-23,0,1.8,0,13.7,0,9.6,6.4, 
6-Jan-23,0,3.1,0,12.3,0,6.9,2.6, 
7-Jan-23,0,0.8,0,10.7,0,7.6,2, 
8-Jan-23,0,0.9,0,8.4,0,6.6,3, 
9-Jan-23,0,5.5,0,13.3,0,4.4,0.9, 
10-Jan-23,0,3.5,0,14.1,0,5,1.4, 
11-Jan-23,0,4.8,0,12.1,0,6.6,2.5, 
12-Jan-23,0,2.5,0,10.4,0,6.4,4.5, 
13-Jan-23,0,5.1,0,10.8,0,6.7,3.5, 
14-Jan-23,0,1.4,0,7.7,0,6,2.5, 
15-Jan-23,4,0,0,5.9,0,2.8,0, 
16-Jan-23,0,0,0,4.1,1,-1,-4.5, 
17-Jan-23,4,0,0,3.4,1,-4.4,-9.5, 
18-Jan-23,4,0,0,4.6,1,-3.3,-7.4, 
19-Jan-23,0,0,0,5.9,1,-1.9,-7.1, 
20-Jan-23,0,0,0,8.3,1,-4,-8.8, 
21-Jan-23,0,0.8,0,10,1,-3.2,-7.4, 
22-Jan-23,0,0.1,0,11.3,0,7,4, 
23-Jan-23,0,0.4,0,13,0,7.4,4.1, 
24-Jan-23,0,1.1,0,12.9,0,3.6,-1.1, 
25-Jan-23,0,0.4,0,10.7,0,4.3,0, 
26-Jan-23,4,0,0,9.4,0,4.2,-0.9, 
27-Jan-23,0,0,0,7.8,0,2.9,-1, 
28-Jan-23,0,0.3,0,8.1,0,0.1,-3.4, 
