Station Name: DUBLIN (Glasnevin)
Station Height: 18 M 
Latitude:53.370  ,Longitude: -6.270


date: -   09 to 09 utc
rain: -   Precipitation Amount (mm)
maxt: -   Maximum Temperature (C)
mint: -   Minimum Temperature (C)
gmin: -   09utc Grass Minimum Temperature (C)
soil: -   10cm Soil Temperature (C)
ind:  -	  Indicator

date,ind,rain,ind,maxt,ind,mint,gmin,soil
01-jan-2025,0,0.300,0,7.7,0,5.6, , 
02-jan-2025,4,0.000,0,4.0,1,-0.7, , 
03-jan-2025,4,0.000,0,4.1,1,-1.6, , 
04-jan-2025,0,13.700,0,5.1,1,-1.9, , 
05-jan-2025,0,20.700,0,3.8,1,-1.6, , 
06-jan-2025,4,0.000,0,4.2,0,0.0, , 
07-jan-2025,4,0.000,0,4.5,0,0.4, , 
08-jan-2025,0,0.000,0,0.2,1,-2.3, , 
09-jan-2025,0,0.000,0,3.5,1,-3.8, , 
10-jan-2025,0,0.500,0,6.3,1,-4.3, , 
11-jan-2025,0,0.000,0,9.2,0,3.5, , 
12-jan-2025,0,0.100,0,12.8,1,-0.7, , 
13-jan-2025,0,0.000,0,13.9,1,-0.6, , 
14-jan-2025,0,0.000,0,13.7,0,10.9, , 
15-jan-2025,0,0.000,0,14.7,0,2.5, , 
16-jan-2025,0,0.000,0,12.8,0,0.6, , 
17-jan-2025,0,0.000,0,12.8,0,5.3, , 
18-jan-2025,0,0.000,0,12.3,1,-1.0, , 
19-jan-2025,0,0.600,0,8.1,1,-0.6, , 
20-jan-2025,0,0.200,0,9.9,0,6.6, , 
21-jan-2025,4,0.000,0,7.9,0,6.2, , 
22-jan-2025,0,4.500,0,7.7,0,4.3, , 
23-jan-2025,1,8.200,0,8.4,0,4.1, , 
24-jan-2025,1,0.300,0,8.8,0,5.4, , 
25-jan-2025,0,0.600,0,8.0,0,1.7, , 
26-jan-2025,0,13.600,0,9.3,1,-2.5, , 
27-jan-2025,0,6.200,0,10.2,0,6.0, , 
28-jan-2025,0,2.400,0,8.2,0,6.6, , 
29-jan-2025,4,0.000,0,8.0,0,2.2, , 
30-jan-2025,0,2.500,0,7.9,1,-1.5, , 
31-jan-2025,4,0.000,0,9.9,0,0.3, , 
01-feb-2025,0,0.800,0,10.9,1,-1.4,-6.4, 
02-feb-2025,0,0.900,0,10.2,0,2.9,-1.6, 
03-feb-2025,0,4.600,0,13.1,0,0.8,-4.1, 
04-feb-2025,4,0.000,0,11.7,0,8.4,5.9, 
05-feb-2025,0,0.000,0,9.8,0,3.5,-3.1, 
06-feb-2025,0,0.000,0,9.2,1,-3.5,-7.4, 
07-feb-2025,0,1.400,0,6.6,1,-3.3,-7.3, 
08-feb-2025,0,2.600,0,6.9,0,3.4,-0.6, 
09-feb-2025,0,0.000,0,7.7,0,3.5,1.1, 
10-feb-2025,0,4.700,0,6.1,0,5.6,2.1, 
11-feb-2025,0,0.200,0,6.2,0,4.6,1.7, 
12-feb-2025,0,0.000,0,6.9,0,5.3,2.3, 
13-feb-2025,0,3.700,0,5.9,0,5.9,2.4, 
14-feb-2025,0,4.100,0,6.4,0,4.4,1.0, 
15-feb-2025,0,3.000,0,7.5,0,4.5,-1.6, 
16-feb-2025,0,0.600,0,8.4,0,5.6,3.4, 
17-feb-2025,4,0.000,0,6.9,0,5.0,2.3, 
18-feb-2025,4,0.000,0,8.0,0,5.2,3.0, 
19-feb-2025,0,2.900,0,14.9,0,6.4,2.3, 
20-feb-2025,0,6.800,0,14.9,0,8.0,4.4, 
21-feb-2025,0,3.100,0,15.1,0,8.0,4.5, 
22-feb-2025,0,0.900,0,13.3,0,7.9,2.0, 
23-feb-2025,0,5.400,0,14.8,0,7.8,1.5, 
24-feb-2025,0,2.800,0,13.4,0,8.2,4.0, 
25-feb-2025,0,1.100,0,11.3,0,4.8,-1.0, 
26-feb-2025,0,0.800,0,9.4,0,4.5,-1.3, 
27-feb-2025,4,0.000,0,11.5,0,0.8,-5.1, 
28-feb-2025,0,0.000,0,11.9,1,-2.1,-6.7, 
01-mar-2025,0,0.000,0,12.2,0,0.9, , 
02-mar-2025,0,0.000,0,11.6,0,7.3, , 
03-mar-2025,0,0.000,0,14.0,0,7.3, , 
04-mar-2025,0,0.000,0,11.9,0,1.2, , 
05-mar-2025,0,0.000,0,14.1,0,7.0, , 
06-mar-2025,0,2.000,0,14.6,0,3.8, , 
07-mar-2025,0,0.000,0,14.6,0,8.6, , 
08-mar-2025,0,0.000,0,13.7,0,8.5, , 
09-mar-2025,0,0.000,0,13.4,0,6.9, , 
10-mar-2025,0,0.000,0,11.7,0,3.9, , 
11-mar-2025,0,0.000,0,8.2,0,5.7, , 
12-mar-2025,0,0.000,0,9.8,0,3.4, , 
13-mar-2025,0,1.100,0,8.2,0,0.8, , 
14-mar-2025,0,0.000,0,9.2,0,4.0, , 
15-mar-2025,0,0.000,0,10.1,1,-1.8, , 
16-mar-2025,0,0.000,0,11.3,0,3.7, , 
17-mar-2025,0,0.000,0,8.6,0,7.1, , 
18-mar-2025,0,0.000,0,10.6,0,5.7, , 
19-mar-2025,0,0.000,0,10.9,1,-0.3, , 
20-mar-2025,0,0.000,0,15.2,0,6.0, , 
21-mar-2025,0,2.700,0,13.8,0,8.9, , 
22-mar-2025,0,2.900,0,14.9,0,9.8, , 
23-mar-2025,0,0.000,0,11.3,0,6.1, , 
24-mar-2025,0,0.000,0,15.2,0,2.7, , 
25-mar-2025,0,0.000,0,14.5,0,7.0, , 
26-mar-2025,0,0.000,0,15.7,0,4.9, , 
27-mar-2025,0,0.700,0,17.0,0,8.2, , 
28-mar-2025,0,1.600,0,11.7,0,6.3, , 
29-mar-2025,0,0.000,0,13.1,0,4.7, , 
30-mar-2025,4,0.000,0,16.9,0,7.8, , 
31-mar-2025,0,0.000,0,17.2,0,10.8, , 
01-apr-2025,0,0.000,0,14.7,0,6.0,2.0, 
02-apr-2025,0,0.000,0,14.1,0,7.5,3.3, 
03-apr-2025,4,0.000,0,14.7,0,7.1,3.5, 
04-apr-2025,0,0.000,0,15.0,0,9.6,1.0, 
05-apr-2025,0,0.000,0,12.7,0,7.2,5.0, 
06-apr-2025,0,0.000,0,14.4,0,2.5,-2.4, 
07-apr-2025,0,0.000,0,14.3,0,1.7,-4.2, 
08-apr-2025,0,0.000,0,16.6,0,2.6,-3.9, 
09-apr-2025,0,0.000,0,15.2,0,2.2,-3.8, 
10-apr-2025,0,0.000,0,16.6,0,2.7,-3.6, 
11-apr-2025,0,0.000,0,19.6,0,5.2,1.8, 
12-apr-2025,0,0.600,0,15.4,0,3.7,-1.6, 
13-apr-2025,0,0.700,0,13.4,0,4.2,0.9, 
14-apr-2025,0,0.000,0,14.6,0,7.2,3.2, 
15-apr-2025,0,23.500,0,11.9,0,6.0,2.4, 
16-apr-2025,0,3.900,0,10.2,0,5.0,3.2, 
17-apr-2025,0,6.900,0,12.3,0,0.1,-4.5, 
18-apr-2025,0,23.000,0,9.8,0,8.1,3.4, 
19-apr-2025,0,2.700,0,10.6,0,8.3,7.5, 
20-apr-2025,0,2.100,0,12.4,0,9.3,7.3, 
21-apr-2025,0,0.100,0,14.7,0,8.3,6.3, 
22-apr-2025,0,6.100,0,15.2,0,3.4,-0.4, 
23-apr-2025,0,0.000,0,13.6,0,8.9,5.9, 
24-apr-2025,0,7.500,0,15.9,0,3.7,-1.0, 
25-apr-2025,0,3.100,0,13.7,0,10.2,7.4, 
26-apr-2025,0,0.200,0,19.4,0,10.2,9.0, 
27-apr-2025,0,0.000,0,18.6,0,11.6,6.9, 
28-apr-2025,0,0.000,0,19.2,0,12.5,8.0, 
29-apr-2025,0,0.000,0,19.6,0,7.2,3.0, 
30-apr-2025,0,0.000,0,20.1,0,7.1,3.0, 
01-may-2025,0,0.000,0,20.7,0,8.8, , 
02-may-2025,0,0.000,0,16.2,0,7.4, , 
03-may-2025,0,0.000,0,16.2,0,5.9, , 
04-may-2025,0,0.000,0,12.7,0,4.6, , 
05-may-2025,0,0.000,0,13.0,0,5.2, , 
06-may-2025,0,0.000,0,15.7,0,2.2, , 
07-may-2025,0,0.000,0,17.2,0,5.1, , 
08-may-2025,0,0.000,0,14.7,0,6.0, , 
09-may-2025,0,0.000,0,16.4,0,3.7, , 
10-may-2025,0,3.600,0,17.9,0,4.3, , 
11-may-2025,0,1.100,0,20.3,0,5.9, , 
12-may-2025,0,0.000,0,18.9,0,10.3, , 
13-may-2025,0,0.000,0,19.8,0,11.3, , 
14-may-2025,0,0.000,0,17.2,0,10.3, , 
15-may-2025,0,0.000,0,18.3,0,7.4, , 
16-may-2025,0,0.000,0,19.8,0,7.4, , 
17-may-2025,0,0.000,0,17.4,0,5.9, , 
18-may-2025,0,0.000,0,18.5,0,7.3, , 
19-may-2025,0,0.000,0,15.4,0,8.1, , 
20-may-2025,0,5.400,0,17.6,0,6.2, , 
21-may-2025,0,0.000,0,22.0,0,8.8, , 
22-may-2025,0,0.000,0,17.2,0,8.1, , 
23-may-2025,0,1.900,0,19.2,0,6.6, , 
24-may-2025,0,2.200,0,18.9,0,14.0, , 
25-may-2025,0,1.200,0,15.9,0,10.4, , 
26-may-2025,0,3.900,0,15.0,0,9.2, , 
27-may-2025,0,6.900,0,14.7,0,10.2, , 
28-may-2025,0,3.300,0,19.3,0,10.0, , 
29-may-2025,0,5.500,0,19.4,0,12.9, , 
30-may-2025,0,0.000,0,22.7,0,15.0, , 
31-may-2025,0,1.600,0,19.4,0,14.0, , 
01-jun-2025,0,0.000,0,18.4,0,11.4,4.4, 
02-jun-2025,0,10.000,0,18.5,0,7.4,1.2, 
03-jun-2025,0,0.800,0,16.7,0,10.3,4.6, 
04-jun-2025,0,2.800,0,16.0,0,9.1,2.3, 
05-jun-2025,0,2.100,0,17.6,0,11.1,5.8, 
06-jun-2025,0,2.400,0,17.2,0,7.4,0.4, 
07-jun-2025,0,1.900,0,15.4,0,9.8,4.6, 
08-jun-2025,0,0.400,0,16.3,0,5.5,1.5, 
09-jun-2025,0,2.200,0,16.7,0,11.4,3.9, 
10-jun-2025,0,0.000,0,18.3,0,11.4,4.7, 
11-jun-2025,0,2.800,0,21.8,0,9.5,2.4, 
12-jun-2025,0,17.200,0,17.3,0,14.0,7.9, 
13-jun-2025,0,16.900,0,21.7,0,14.3,7.8, 
14-jun-2025,0,14.700,0,16.6,0,13.2,8.3, 
15-jun-2025,0,0.000,0,20.0,0,11.0,3.0, 
16-jun-2025,0,0.000,0,23.3,0,12.1,3.3, 
17-jun-2025,0,0.000,0,23.2,0,15.4,6.9, 
18-jun-2025,0,0.000,0,19.2,0,13.1,5.8, 
19-jun-2025,0,0.000,0,23.2,0,12.7,11.1, 
20-jun-2025,0,0.000,0,25.5,0,14.1,8.9, 
21-jun-2025,0,0.000,0,24.1,0,15.7,9.4, 
22-jun-2025,0,4.000,0,19.7,0,16.0,10.2, 
23-jun-2025,0,1.300,0,19.7,0,11.5,6.3, 
24-jun-2025,4,0.000,0,21.9,0,15.3,11.5, 
25-jun-2025,0,0.800,0,21.7,0,14.4,8.0, 
26-jun-2025,0,1.900,0,20.3,0,13.6,10.5, 
27-jun-2025,4,0.000,0,24.8,0,14.0,9.5, 
28-jun-2025,0,0.800,0,23.7,0,18.0,13.4, 
29-jun-2025,4,0.000,0,25.8,0,14.2,7.0, 
30-jun-2025,0,0.700,0,22.7,0,17.2,10.4, 
01-jul-2025,0,0.600,0,18.5,0,12.9, , 
02-jul-2025,4,0.000,0,19.6,0,10.0, , 
03-jul-2025,0,0.800,0,21.3,0,8.2, , 
04-jul-2025,0,0.000,0,20.4,0,14.1, , 
05-jul-2025,0,0.000,0,21.9,0,16.3, , 
06-jul-2025,0,0.300,0,19.5,0,13.5, , 
07-jul-2025,0,0.000,0,21.7,0,11.0, , 
08-jul-2025,0,0.000,0,21.8,0,13.4, , 
09-jul-2025,0,0.000,0,23.7,0,14.6, , 
10-jul-2025,0,0.000,0,23.2,0,13.3, , 
11-jul-2025,0,0.000,0,28.3,0,12.8, , 
12-jul-2025,0,0.000,0,27.0,0,14.9, , 
13-jul-2025,0,0.700,0,23.3,0,14.5, , 
14-jul-2025,0,7.600,0,20.3,0,16.7, , 
15-jul-2025,0,9.700,0,20.1,0,14.3, , 
16-jul-2025,0,0.700,0,21.3,0,11.2, , 
17-jul-2025,0,1.100,0,22.3,0,15.6, , 
18-jul-2025,0,0.200,0,21.6,0,15.2, , 
19-jul-2025,0,3.000,0,21.0,0,13.9, , 
20-jul-2025,0,52.800,0,17.5,0,16.1, , 
21-jul-2025,0,1.600,0,18.0,0,15.0, , 
22-jul-2025,4,0.000,0,20.1,0,14.2, , 
23-jul-2025,4,0.000,0,19.2,0,14.1, , 
24-jul-2025,0,0.000,0,20.9,0,12.9, , 
25-jul-2025,0,0.000,0,22.1,0,13.7, , 
26-jul-2025,0,0.000,0,22.1,0,14.3, , 
27-jul-2025,0,1.100,0,20.7,0,14.4, , 
28-jul-2025,0,0.400,0,22.2,0,15.0, , 
29-jul-2025,4,0.000,0,23.7,0,16.2, , 
30-jul-2025,0,0.500,0,21.8,0,15.2, , 
31-jul-2025,0,0.200,0,22.4,0,15.4, , 
01-aug-2025,0,0.000,0,18.8,0,13.4, , 
02-aug-2025,0,1.000,0,21.2,0,12.8, , 
03-aug-2025,0,1.100,0,22.3,0,12.8, , 
04-aug-2025,0,0.000,0,20.6,0,15.6, , 
05-aug-2025,0,0.000,0,20.4,0,12.0, , 
06-aug-2025,0,0.000,0,19.6,0,12.3, , 
07-aug-2025,0,0.000,0,20.4,0,16.0, , 
08-aug-2025,0,0.000,0,22.2,0,13.1, , 
09-aug-2025,0,0.000,0,22.4,0,14.3, , 
10-aug-2025,0,0.000,0,23.3,0,8.0, , 
11-aug-2025,0,0.000,0,22.1,0,16.0, , 
12-aug-2025,0,0.000,0,26.3,0,14.1, , 
13-aug-2025,0,0.000,0,25.1,0,14.0, , 
14-aug-2025,0,0.000,0,26.3,0,17.0, , 
15-aug-2025,0,0.000,0,23.1,0,15.6, , 
16-aug-2025,0,0.000,0,22.9,0,13.1, , 
17-aug-2025,0,0.000,0,21.6,0,14.7, , 
18-aug-2025,0,0.000,0,21.3,0,12.2, , 
19-aug-2025,0,0.000,0,17.8,0,16.2, , 
20-aug-2025,0,0.000,0,17.3,0,15.5, , 
21-aug-2025,0,0.000,0,20.2,0,13.3, , 
22-aug-2025,0,2.500,0,23.2,0,11.0, , 
23-aug-2025,0,3.400,0,18.7,0,16.6, , 
24-aug-2025,4,0.000,0,22.4,0,14.0, , 
25-aug-2025,0,0.000,0,25.4,0,14.3, , 
26-aug-2025,0,7.900,0,22.6,0,15.8, , 
27-aug-2025,0,0.200,0,20.3,0,14.0, , 
28-aug-2025,0,0.300,0,17.7,0,14.2, , 
29-aug-2025,0,6.100,0,19.5,0,12.6, , 
30-aug-2025,0,0.800,0,23.2,0,11.1, , 
31-aug-2025,0,0.000,0,20.1,0,13.6, , 
01-sep-2025,0,2.000,0,17.9,0,14.5, , 
02-sep-2025,0,14.000,0,19.3,0,8.3, , 
03-sep-2025,0,0.700,0,19.0,0,13.7, , 
04-sep-2025,0,3.800,0,18.3,0,9.4, , 
05-sep-2025,0,0.000,0,18.6,0,12.2, , 
06-sep-2025,0,0.600,0,18.7,0,14.8, , 
07-sep-2025,0,0.500,0,19.5,0,16.5, , 
08-sep-2025,0,0.500,0,19.2,0,9.5, , 
09-sep-2025,0,0.900,0,19.2,0,12.4, , 
10-sep-2025,0,7.800,0,17.3,0,12.4, , 
11-sep-2025,0,0.900,0,15.6,0,11.5, , 
12-sep-2025,0,1.900,0,17.2,0,10.0, , 
13-sep-2025,0,1.000,0,16.6,0,9.9, , 
14-sep-2025,0,7.900,0,18.8,0,8.0, , 
15-sep-2025,0,0.400,0,16.8,0,12.6, , 
16-sep-2025,0,12.900,0,19.5,0,10.6, , 
17-sep-2025,4,0.000,0,20.5,0,12.2, , 
18-sep-2025,0,4.000,0,20.4,0,12.8, , 
19-sep-2025,0,6.800,0,17.3,0,14.0, , 
20-sep-2025,0,1.000,0,14.0,0,11.2, , 
21-sep-2025,0,0.600,0,15.0,0,6.5, , 
22-sep-2025,0,0.000,0,16.0,0,4.6, , 
23-sep-2025,0,0.000,0,16.6,0,4.8, , 
24-sep-2025,0,0.000,0,16.8,0,4.0, , 
25-sep-2025,0,0.000,0,17.7,0,4.3, , 
26-sep-2025,0,1.400,0,17.9,0,3.4, , 
27-sep-2025,0,4.700,0,15.3,0,12.3, , 
28-sep-2025,0,0.000,0,17.0,0,6.6, , 
29-sep-2025,0,0.500,0,17.3,0,5.6, , 
30-sep-2025,0,10.200,0,19.2,0,10.5, , 
01-oct-2025,0,0.000,0,19.9,0,14.7, , 
02-oct-2025,0,3.900,0,18.5,0,15.0, , 
03-oct-2025,0,7.400,0,20.5,0,12.1, , 
04-oct-2025,0,5.500,0,14.9,0,8.5, , 
05-oct-2025,0,0.000,0,15.5,0,8.9, , 
06-oct-2025,0,0.000,0,20.4,0,11.2, , 
07-oct-2025,0,0.000,0,17.8,0,13.3, , 
08-oct-2025,0,0.000,0,15.8,0,9.7, , 
09-oct-2025,0,0.000,0,15.6,0,11.4, , 
10-oct-2025,0,0.000,0,11.9,0,10.6, , 
11-oct-2025,0,0.000,0,10.8,0,9.9, , 
12-oct-2025,0,0.000,0,13.1,0,10.1, , 
13-oct-2025,0,0.000,0,14.5,0,10.1, , 
14-oct-2025,0,0.700,0,14.5,0,10.8, , 
15-oct-2025,0,0.000,0,12.9,0,11.1, , 
16-oct-2025,0,0.000,0,13.2,0,11.0, , 
17-oct-2025,0,0.000,0,15.0,0,11.6, , 
18-oct-2025,0,18.800,0,14.4,0,12.8, , 
19-oct-2025,0,5.100,0,16.7,0,12.2, , 
20-oct-2025,0,15.600,0,14.0,0,9.5, , 
21-oct-2025,4,0.000,0,14.9,0,10.7, , 
22-oct-2025,0,4.800,0,15.6,0,4.2, , 
23-oct-2025,0,0.700,0,11.0,0,4.2, , 
24-oct-2025,0,0.000,0,12.9,0,6.2, , 
25-oct-2025,0,0.000,0,10.9,0,5.8, , 
26-oct-2025,0,2.000,0,12.1,0,3.9, , 
27-oct-2025,0,2.700,0,12.6,0,7.2, , 
28-oct-2025,0,2.000,0,13.1,0,9.6, , 
29-oct-2025,0,0.000,0,12.2,0,7.3, , 
30-oct-2025,0,8.400,0,14.0,0,2.6, , 
31-oct-2025,0,6.900,0,15.8,0,9.9, , 
01-nov-2025,0,0.000,0,12.4,0,8.8,5.5, 
02-nov-2025,0,1.200,0,15.0,0,6.3,2.5, 
03-nov-2025,0,12.000,0,17.2,0,8.4,5.0, 
04-nov-2025,0,3.000,0,16.6,0,12.4,9.1, 
05-nov-2025,0,6.600,0,16.5,0,11.9,8.9, 
06-nov-2025,4,0.000,0,18.1,0,13.0,10.4, 
07-nov-2025,0,8.800,0,13.7,0,11.8,8.6, 
08-nov-2025,0,1.400,0,14.1,0,5.0,1.3, 
09-nov-2025,4,0.000,0,14.4,0,6.0,3.8, 
10-nov-2025,0,4.400,0,14.6,0,7.1,3.4, 
11-nov-2025,0,1.600,0,15.1,0,3.3,0.0, 
12-nov-2025,0,17.500,0,11.8,0,4.9,1.1, 
13-nov-2025,0,3.100,0,14.0,0,6.8,2.5, 
14-nov-2025,0,20.600,0,9.7,0,9.7,5.1, 
15-nov-2025,0,3.500,0,11.2,0,8.4,5.2, 
16-nov-2025,4,0.000,0,9.8,0,9.3,5.9, 
17-nov-2025,0,0.500,0,8.7,0,4.0,-1.4, 
18-nov-2025,0,0.500,0,9.6,0,4.6,-2.0, 
19-nov-2025,0,0.000,0,5.4,0,1.9,-3.2, 
20-nov-2025,0,0.000,0,5.1,1,-0.4,-5.7, 
21-nov-2025,0,3.800,0,9.2,1,-3.2,-7.4, 
22-nov-2025,0,2.100,0,9.7,1,-3.1,-6.8, 
23-nov-2025,0,2.300,0,9.3,0,2.4,-2.1, 
24-nov-2025,0,0.000,0,10.4,0,6.2,3.3, 
25-nov-2025,0,0.000,0,9.5,0,2.2,-1.8, 
26-nov-2025,0,0.800,0,14.6,1,-1.0,-4.5, 
27-nov-2025,0,7.700,0,16.0,0,8.8,3.0, 
28-nov-2025,0,1.700,0,9.2,0,6.5,3.2, 
29-nov-2025,0,4.100,0,6.9,0,2.3,-3.9, 
30-nov-2025,0,9.200,0,12.4,0,0.2,-5.0, 
