Station Name: DUBLIN (Glasnevin)
Station Height: 18 M 
Latitude:53.370  ,Longitude: -6.270


date: -   09 to 09 utc
rain: -   Precipitation Amount (mm)
maxt: -   Maximum Temperature (C)
mint: -   Minimum Temperature (C)
gmin: -   09utc Grass Minimum Temperature (C)
soil: -   10cm Soil Temperature (C)
ind:  -	  Indicator

date,ind,rain,ind,maxt,ind,mint,gmin,soil
01-jan-2024,0,8.400,0,11.2,0,3.4,-0.2, 
02-jan-2024,0,6.200,0,9.9,0,3.4,-0.1, 
03-jan-2024,0,0.000,0,8.9,0,7.0,3.1, 
04-jan-2024,0,0.300,0,8.8,0,5.4,0.6, 
05-jan-2024,4,0.000,0,8.1,0,1.9,-0.5, 
06-jan-2024,4,0.000,0,6.8,1,-0.1,-4.7, 
07-jan-2024,0,5.800,0,5.1,1,-1.3,-5.4, 
08-jan-2024,4,0.000,0,6.1,1,-1.0,-3.9, 
09-jan-2024,4,0.000,0,6.0,0,4.3,0.4, 
10-jan-2024,4,0.000,0,7.4,0,4.2,-0.1, 
11-jan-2024,4,0.000,0,8.3,0,6.0,1.9, 
12-jan-2024,0,0.000,0,5.1,0,5.0,3.8, 
13-jan-2024,4,0.000,0,5.1,0,1.8,0.5, 
14-jan-2024,4,0.000,0,6.0,0,1.3,-3.0, 
15-jan-2024,0,0.000,0,3.5,1,-0.8,-5.3, 
16-jan-2024,0,0.000,0,5.4,1,-1.7,-5.8, 
17-jan-2024,0,0.000,0,3.2,1,-1.3,-6.0, 
18-jan-2024,0,0.000,0,3.9,1,-3.8,-8.2, 
19-jan-2024,0,1.700,0,9.0,1,-3.6,-7.8, 
20-jan-2024,0,1.400,0,11.1,0,1.2,-3.9, 
21-jan-2024,0,4.200,0,14.5,0,7.6,2.4, 
22-jan-2024,0,1.300,0,12.9,0,6.7,2.2, 
23-jan-2024,0,2.800,0,15.6,0,6.0,0.9, 
24-jan-2024,0,1.100,0,12.5,0,8.1,3.2, 
25-jan-2024,0,2.000,0,15.0,0,4.2,-1.1, 
26-jan-2024,0,0.100,0,9.1,0,4.2,-0.5, 
27-jan-2024,0,0.000,0,12.4,0,4.8,0.8, 
28-jan-2024,0,9.500,0,13.6,0,9.1,5.9, 
29-jan-2024,0,6.900,0,5.6,0,4.1,3.5, 
30-jan-2024,4,0.000,0,9.1,1,-0.1,-4.6, 
31-jan-2024,0,2.500,0,11.7,0,1.0,-2.1, 
01-feb-2024,4,0.000,0,11.7,0,1.6,-3.5, 
02-feb-2024,0,0.600,0,13.5,0,1.7,-3.6, 
03-feb-2024,0,0.200,0,11.7,0,9.2,6.5, 
04-feb-2024,0,0.000,0,14.8,0,8.4,3.9, 
05-feb-2024,0,4.600,0,12.4,0,9.8,6.6, 
06-feb-2024,0,6.800,0,10.8,0,10.5,8.0, 
07-feb-2024,0,10.500,0,7.1,0,1.3,-2.4, 
08-feb-2024,0,20.500,0,8.2,0,1.8,-1.6, 
09-feb-2024,0,0.500,0,7.1,0,3.9,2.6, 
10-feb-2024,4,0.000,0,9.7,0,0.4,-3.0, 
11-feb-2024,4,0.000,0,10.1,0,2.4,-1.6, 
12-feb-2024,0,0.700,0,9.6,0,2.5,-2.8, 
13-feb-2024,0,3.000,0,11.5,0,3.5,-0.8, 
14-feb-2024,0,5.500,0,14.3,0,4.3,3.6, 
15-feb-2024,0,0.800,0,13.8,0,10.4,8.0, 
16-feb-2024,0,0.000,0,12.6,0,5.1,0.1, 
17-feb-2024,0,1.100,0,14.1,0,5.4,0.3, 
18-feb-2024,0,0.500,0,14.4,0,8.6,3.7, 
19-feb-2024,0,0.000,0,12.4,0,8.5,3.5, 
20-feb-2024,0,1.400,0,13.6,0,9.1,3.1, 
21-feb-2024,0,2.500,0,14.2,0,4.6,-0.6, 
22-feb-2024,0,0.400,0,8.0,0,5.2,0.6, 
23-feb-2024,0,0.000,0,8.6,0,3.2,-1.1, 
24-feb-2024,0,3.200,0,8.9,0,2.7,-2.5, 
25-feb-2024,0,0.000,0,8.3,0,1.6,-2.6, 
26-feb-2024,0,0.000,0,9.7,0,2.7,-3.0, 
27-feb-2024,0,1.400,0,11.7,1,-0.1,-4.9, 
28-feb-2024,0,1.900,0,13.1,0,4.5,-1.5, 
29-feb-2024,0,15.200,0,10.0,0,5.7,1.0, 
01-mar-2024,0,28.500,0,4.7,0,0.4,-1.1, 
02-mar-2024,4,0.000,0,8.1,0,0.4,-1.6, 
03-mar-2024,0,0.500,0,9.0,0,1.7,-2.6, 
04-mar-2024,0,7.900,0,8.1,0,0.4,-3.6, 
05-mar-2024,0,0.300,0,12.2,0,5.8,-0.6, 
06-mar-2024,0,0.000,0,10.7,0,0.1,-4.5, 
07-mar-2024,4,0.000,0,9.7,0,7.6,3.3, 
08-mar-2024,0,0.000,0,8.1,0,5.2,-0.6, 
09-mar-2024,0,1.700,0,8.2,0,5.8,1.8, 
10-mar-2024,0,1.500,0,8.8,0,7.0,4.7, 
11-mar-2024,0,8.600,0,10.3,0,7.1,5.2, 
12-mar-2024,0,0.500,0,15.5,0,7.1,2.6, 
13-mar-2024,0,13.500,0,12.7,0,10.3,8.3, 
14-mar-2024,0,1.100,0,15.6,0,7.5,6.6, 
15-mar-2024,0,1.200,0,12.6,0,8.6,5.8, 
16-mar-2024,0,1.000,0,13.7,0,0.5,-3.9, 
17-mar-2024,0,0.000,0,16.1,0,8.2,2.7, 
18-mar-2024,0,0.000,0,13.3,0,6.1,2.0, 
19-mar-2024,0,6.500,0,13.3,0,9.3,6.4, 
20-mar-2024,0,0.100,0,11.5,0,7.9,6.3, 
21-mar-2024,0,1.300,0,14.2,0,3.1,-1.0, 
22-mar-2024,0,0.800,0,14.2,0,6.1,1.8, 
23-mar-2024,0,0.000,0,10.5,0,4.1,0.0, 
24-mar-2024,0,3.100,0,11.2,0,4.2,0.0, 
25-mar-2024,0,4.600,0,10.4,0,7.1,5.0, 
26-mar-2024,0,2.500,0,9.8,0,6.6,4.9, 
27-mar-2024,0,3.300,0,9.0,0,5.7,-0.9, 
28-mar-2024,0,0.100,0,10.3,0,1.8,-3.1, 
29-mar-2024,0,0.500,0,12.2,0,1.0,-4.1, 
30-mar-2024,0,3.400,0,12.3,0,4.7,-2.4, 
31-mar-2024,0,0.000,0,13.2,0,8.0,0.5, 
01-apr-2024,0,0.000,0,9.7,0,8.6,5.2, 
02-apr-2024,0,9.800,0,12.6,0,3.0,-0.9, 
03-apr-2024,4,0.000,0,12.6,0,7.3,5.0, 
04-apr-2024,0,3.400,0,13.7,0,8.0,4.8, 
05-apr-2024,0,0.500,0,16.8,0,8.9,6.0, 
06-apr-2024,0,0.000,0,15.8,0,11.5,7.9, 
07-apr-2024,0,4.400,0,15.0,0,9.2,5.3, 
