date,event_impact,event_name
11-Feb-23,1,Six Nations: Ireland vs France
17-Mar-23,2,St. Patrick's Day Festival
18-Mar-23,1,Six Nations: Ireland vs England
5-May-23,2,Bruce Springsteen Concert
7-May-23,2,Bruce Springsteen Concert
9-May-23,2,Bruce Springsteen Concert
20-May-23,1,Heineken Champions Cup Final (Aviva)
23-Jul-23,2,All-Ireland Senior Hurling Final (Croke Park)
30-Jul-23,2,All-Ireland Senior Football Final (Croke Park)
26-Aug-23,1,College Football Classic: Notre Dame vs Navy (Aviva)
11-Feb-24,1,Six Nations: Ireland vs Italy
24-Feb-24,1,Six Nations: Ireland vs Wales
16-Mar-24,1,Six Nations: Ireland vs Scotland
17-Mar-24,2,St. Patrick's Day Festival
19-May-24,2,Bruce Springsteen Concert (Croke Park)
22-May-24,1,UEFA Europa League Final (Aviva)
28-Jun-24,2,Taylor Swift Eras Tour
29-Jun-24,2,Taylor Swift Eras Tour
30-Jun-24,2,Taylor Swift Eras Tour
21-Jul-24,2,All-Ireland Senior Hurling Final (Croke Park)
28-Jul-24,2,All-Ireland Senior Football Final (Croke Park)
17-Aug-24,2,AC/DC Concert (Croke Park)
24-Aug-24,1,College Football Classic: Georgia Tech vs Florida State (Aviva)
29-Aug-24,2,Coldplay Music of the Spheres Tour (Croke Park)
30-Aug-24,2,Coldplay Music of the Spheres Tour (Croke Park)
1-Sep-24,2,Coldplay Music of the Spheres Tour (Croke Park)
2-Sep-24,2,Coldplay Music of the Spheres Tour (Croke Park)
1-Feb-25,1,Six Nations: Ireland vs England
8-Mar-25,1,Six Nations: Ireland vs France
17-Mar-25,2,St. Patrick's Day Festival
20-Jul-25,2,All-Ireland Senior Hurling Final (Croke Park)
27-Jul-25,2,All-Ireland Senior Football Final (Croke Park)
16-Aug-25,2,Oasis Reunion Tour (Croke Park)
17-Aug-25,2,Oasis Reunion Tour (Croke Park)
